datetime,season,yr,mnth,hr,holiday,weekday,weathersit,temp,hum,windspeed,cnt
2011-01-01 00:00:00,4,0,1,0,1,5,1.0,0.24,0.81,0.0,16.0
2011-01-01 01:00:00,4,0,1,1,1,5,1.0,0.22,0.8,0.0,40.0
2011-01-01 02:00:00,4,0,1,2,1,5,1.0,0.22,0.8,0.0,32.0
2011-01-01 03:00:00,4,0,1,3,1,5,1.0,0.24,0.75,0.0,13.0
2011-01-01 04:00:00,4,0,1,4,1,5,1.0,0.24,0.75,0.0,1.0
2011-01-01 05:00:00,4,0,1,5,1,5,2.0,0.24,0.75,0.0896,1.0
2011-01-01 06:00:00,4,0,1,6,1,5,1.0,0.22,0.8,0.0,2.0
2011-01-01 07:00:00,4,0,1,7,1,5,1.0,0.2,0.86,0.0,3.0
2011-01-01 08:00:00,4,0,1,8,1,5,1.0,0.24,0.75,0.0,8.0
2011-01-01 09:00:00,4,0,1,9,1,5,1.0,0.32,0.76,0.0,14.0
2011-01-01 10:00:00,4,0,1,10,1,5,1.0,0.38,0.76,0.2537,36.0
2011-01-01 11:00:00,4,0,1,11,1,5,1.0,0.36,0.81,0.2836,56.0
2011-01-01 12:00:00,4,0,1,12,1,5,1.0,0.42,0.77,0.2836,84.0
2011-01-01 13:00:00,4,0,1,13,1,5,2.0,0.46,0.72,0.2985,94.0
2011-01-01 14:00:00,4,0,1,14,1,5,2.0,0.46,0.72,0.2836,106.0
2011-01-01 15:00:00,4,0,1,15,1,5,2.0,0.44,0.77,0.2985,110.0
2011-01-01 16:00:00,4,0,1,16,1,5,2.0,0.42,0.82,0.2985,93.0
2011-01-01 17:00:00,4,0,1,17,1,5,2.0,0.44,0.82,0.2836,67.0
2011-01-01 18:00:00,4,0,1,18,1,5,3.0,0.42,0.88,0.2537,35.0
2011-01-01 19:00:00,4,0,1,19,1,5,3.0,0.42,0.88,0.2537,37.0
2011-01-01 20:00:00,4,0,1,20,1,5,2.0,0.4,0.87,0.2537,36.0
2011-01-01 21:00:00,4,0,1,21,1,5,2.0,0.4,0.87,0.194,34.0
2011-01-01 22:00:00,4,0,1,22,1,5,2.0,0.4,0.94,0.2239,28.0
2011-01-01 23:00:00,4,0,1,23,1,5,2.0,0.46,0.88,0.2985,39.0
2011-01-02 00:00:00,4,0,1,0,0,6,2.0,0.46,0.88,0.2985,17.0
2011-01-02 01:00:00,4,0,1,1,0,6,2.0,0.44,0.94,0.2537,17.0
2011-01-02 02:00:00,4,0,1,2,0,6,2.0,0.42,1.0,0.2836,9.0
2011-01-02 03:00:00,4,0,1,3,0,6,2.0,0.46,0.94,0.194,6.0
2011-01-02 04:00:00,4,0,1,4,0,6,2.0,0.46,0.94,0.194,3.0
2011-01-02 05:00:00,4,0,1,5,0,6,,,,,0.0
2011-01-02 06:00:00,4,0,1,6,0,6,3.0,0.42,0.77,0.2985,2.0
2011-01-02 07:00:00,4,0,1,7,0,6,2.0,0.4,0.76,0.194,1.0
2011-01-02 08:00:00,4,0,1,8,0,6,3.0,0.4,0.71,0.2239,8.0
2011-01-02 09:00:00,4,0,1,9,0,6,2.0,0.38,0.76,0.2239,20.0
2011-01-02 10:00:00,4,0,1,10,0,6,2.0,0.36,0.81,0.2239,53.0
2011-01-02 11:00:00,4,0,1,11,0,6,2.0,0.36,0.71,0.2537,70.0
2011-01-02 12:00:00,4,0,1,12,0,6,2.0,0.36,0.66,0.2985,93.0
2011-01-02 13:00:00,4,0,1,13,0,6,2.0,0.36,0.66,0.1343,75.0
2011-01-02 14:00:00,4,0,1,14,0,6,3.0,0.36,0.76,0.194,59.0
2011-01-02 15:00:00,4,0,1,15,0,6,3.0,0.34,0.81,0.1642,74.0
2011-01-02 16:00:00,4,0,1,16,0,6,3.0,0.34,0.71,0.1642,76.0
2011-01-02 17:00:00,4,0,1,17,0,6,1.0,0.34,0.57,0.194,65.0
2011-01-02 18:00:00,4,0,1,18,0,6,2.0,0.36,0.46,0.3284,53.0
2011-01-02 19:00:00,4,0,1,19,0,6,1.0,0.32,0.42,0.4478,30.0
2011-01-02 20:00:00,4,0,1,20,0,6,1.0,0.3,0.39,0.3582,22.0
2011-01-02 21:00:00,4,0,1,21,0,6,1.0,0.26,0.44,0.3284,31.0
2011-01-02 22:00:00,4,0,1,22,0,6,1.0,0.24,0.44,0.2985,9.0
2011-01-02 23:00:00,4,0,1,23,0,6,1.0,0.22,0.47,0.1642,8.0
2011-01-03 00:00:00,4,0,1,0,0,0,1.0,0.22,0.44,0.3582,5.0
2011-01-03 01:00:00,4,0,1,1,0,0,1.0,0.2,0.44,0.4179,2.0
2011-01-03 02:00:00,4,0,1,2,0,0,,,,,0.0
2011-01-03 03:00:00,4,0,1,3,0,0,,,,,0.0
2011-01-03 04:00:00,4,0,1,4,0,0,1.0,0.16,0.47,0.3881,1.0
2011-01-03 05:00:00,4,0,1,5,0,0,1.0,0.16,0.47,0.2836,3.0
2011-01-03 06:00:00,4,0,1,6,0,0,1.0,0.14,0.5,0.3881,30.0
2011-01-03 07:00:00,4,0,1,7,0,0,1.0,0.14,0.5,0.194,64.0
2011-01-03 08:00:00,4,0,1,8,0,0,1.0,0.14,0.5,0.2836,154.0
2011-01-03 09:00:00,4,0,1,9,0,0,1.0,0.16,0.43,0.3881,88.0
2011-01-03 10:00:00,4,0,1,10,0,0,1.0,0.18,0.43,0.2537,44.0
2011-01-03 11:00:00,4,0,1,11,0,0,1.0,0.2,0.4,0.3284,51.0
2011-01-03 12:00:00,4,0,1,12,0,0,1.0,0.22,0.35,0.2985,61.0
2011-01-03 13:00:00,4,0,1,13,0,0,1.0,0.24,0.35,0.2836,61.0
2011-01-03 14:00:00,4,0,1,14,0,0,1.0,0.26,0.3,0.2836,77.0
2011-01-03 15:00:00,4,0,1,15,0,0,1.0,0.26,0.3,0.2537,72.0
2011-01-03 16:00:00,4,0,1,16,0,0,1.0,0.26,0.3,0.2537,76.0
2011-01-03 17:00:00,4,0,1,17,0,0,1.0,0.24,0.3,0.2239,157.0
2011-01-03 18:00:00,4,0,1,18,0,0,1.0,0.24,0.32,0.1045,157.0
2011-01-03 19:00:00,4,0,1,19,0,0,1.0,0.2,0.47,0.0,110.0
2011-01-03 20:00:00,4,0,1,20,0,0,1.0,0.2,0.47,0.1045,52.0
2011-01-03 21:00:00,4,0,1,21,0,0,1.0,0.18,0.64,0.1343,52.0
2011-01-03 22:00:00,4,0,1,22,0,0,1.0,0.14,0.69,0.1343,20.0
2011-01-03 23:00:00,4,0,1,23,0,0,1.0,0.18,0.55,0.1045,12.0
2011-01-04 00:00:00,4,0,1,0,0,1,1.0,0.16,0.55,0.1045,5.0
2011-01-04 01:00:00,4,0,1,1,0,1,1.0,0.16,0.59,0.1045,2.0
2011-01-04 02:00:00,4,0,1,2,0,1,1.0,0.14,0.63,0.1343,1.0
2011-01-04 03:00:00,4,0,1,3,0,1,,,,,0.0
2011-01-04 04:00:00,4,0,1,4,0,1,1.0,0.14,0.63,0.0896,2.0
2011-01-04 05:00:00,4,0,1,5,0,1,1.0,0.12,0.68,0.1045,4.0
